AccountIndustry,AccountName,AccountOwner,AccountId,Amount,CloseDate,DaysSinceLastActivity,ForecastCategory,Id,IsClosed,IsWon,OpportunityName,OpportunityAge,OpportunityOwner,OwnerId,RecordTypeName,StageName,Stage,LeadSource,StageSortOrder,TimeInStageDurationSeconds,Probability,analyticsdemo_batch_id__c
Retail,Center Care Hlth Benefit Programs-Ppo,Alyssa Williams,001B000000sxHkjIAE,75000,2017-10-05,536,Closed,006B0000003WaotIAC,true,true,Center Care Hlth Benefit Programs-Ppo 86,40,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Won,Closed Won,Reseller,8,45994023,100,20190709111258551478
Food & Beverage,Crowe Chizek & Co,Jordan Wolf,001B000000SS3R9IAL,75000,2019-01-03,107,Closed,006B0000003WapVIAS,true,true,Crowe Chizek & Co 5,109,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Won,Closed Won,Reseller,8,8308542,100,20190709111258551478
Retail,SLP Capital,Sheri Nunez,001B000000WJDwiIAH,19737,2019-03-23,98,Best Case,006B0000003WapXIAS,false,false,SLP Capital 21,122,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Proposal/Quote,Reseller,5,4397941,75,20190709111258551478
Environmental,The Gallery Group,Ann Jones,001B000000SS3RQIA1,10000,2019-07-29,6,BestCase,006B0000003WapnIAC,,,The Gallery Group 83,32,Ann Jones,005B0000003CnfWIAS,Channel (Partner),Proposal/Quote,Discovery,Reseller,0,1411791,75,20190709111258551478
Banking,Pilot Logistic Services,Megan Kaufman,001B000000bwMRbIAM,15501,2018-07-22,278,Omitted,006B0000003WapsIAC,true,false,Pilot Logistic Services 113,159,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,26800962,0,20190709111258551478
Not For Profit,Bits & Byte Technologies Inc,Kristen Hughes,001B000000SS3RTIA1,20000,2019-07-16,9,BestCase,006B0000003WapvIAC,,,Bits & Byte Technologies Inc 148,27,Kristen Hughes,005B0000003CnfSIAS,Channel (Partner),Negotiation,Qualification,Telesales,2,4397941,90,20190709111258551478
Technology,Southern Finishing Systems,Beth Crawford,001B000000SS3RaIAL,10000,2018-03-28,424,Omitted,006B0000003WapzIAC,true,false,Southern Finishing Systems 218,131,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,35312476,0,20190709111258551478
Recreation,iTendo,Sheri Nunez,001B000000SS4UnIAL,155015,2019-06-26,46,Commit,006B0000003WaqVIAS,false,false,iTendo 186,46,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Lost,Discovery,Fields Sales,0,2951440,0,20190709111258551478
Consulting,Validea,Kristen Hughes,001B000000SS3S9IAL,21750,2019-05-31,31,Best Case,006B0000003WaqeIAC,false,false,Validea 114,51,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Qualification,Other,2,4424572,20,20190709111258551478
Not For Profit,Engineered Support Systems,Ann Jones,001B000000SS4V9IAL,25000,2017-12-09,544,Omitted,006B0000003War0IAC,true,false,Engineered Support Systems 14,112,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Reseller,9,20671372,0,20190709111258551478
Communications,PC House Call,Megan Kaufman,001B000000lwNnjIAE,4583,2017-11-30,525,Omitted,006B0000003WareIAC,true,false,PC House Call 86,124,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,45011633,0,20190709111258551478
Media,GTR Asset Management,Kristen Hughes,001B000000bwMS0IAM,10000,2018-03-12,361,Omitted,006B0000003WasBIAS,true,false,GTR Asset Management 118,141,Kristen Hughes,005B0000003CnfSIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,42307236,0,20190709111258551478
Retail,ValRad,Jordan Wolf,001B000000lwNnqIAE,116261,2018-01-18,444,Omitted,006B0000003WasVIAS,true,false,ValRad 173,82,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Reseller,9,39540263,0,20190709111258551478
Construction,DETERMINE Software,Kristen Hughes,001B000000SS3TjIAL,2300,2018-10-17,264,Omitted,006B0000003WashIAC,true,false,DETERMINE Software 54,129,Kristen Hughes,005B0000003CnfSIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,14747212,0,20190709111258551478
Hospitality,E Tech Services Com,Amy Shaw,001B000000SS4VyIAL,72501,2019-04-12,14,Pipeline,006B0000003WatJIAS,false,false,E Tech Services Com 214,23,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Discovery,Fields Sales,0,822820,0,20190709111258551478
Electronics,EverythingHiTech,Alicia Harrison,001B000000lwNnvIAE,79430,2018-04-08,451,Omitted,006B0000003WatOIAS,true,false,EverythingHiTech 58,127,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,35312445,0,20190709111258551478
Banking,Metataggers,Courtney Brown,001B000000lwNnwIAE,29448,2018-12-13,159,Omitted,006B0000003WatSIAS,true,false,Metataggers 104,125,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,56268172,0,20190709111258551478
Biotechnology,New America Partners,Sheri Nunez,001B000000WJDxfIAH,12500,2018-12-20,79,Omitted,006B0000003WatWIAS,true,false,New America Partners 184,82,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Reseller,9,51429772,0,20190709111258551478
Agriculture,Olympus America.,Kristen Hughes,001B000000WJDxjIAH,7530,2018-04-24,322,Omitted,006B0000003WathIAC,true,false,Olympus America. 59,87,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Reseller,9,30463566,0,20190709111258551478
Other,Logix Communications LP,Kristen Hughes,001B000000SS4WNIA1,29070,2018-10-01,273,Omitted,006B0000003Wau0IAC,true,false,Logix Communications LP 208,120,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Reseller,9,16174587,0,20190709111258551478
Healthcare & Life Sciences,Supervalu Operations Inc,Rachel Reilly,001B000000SS3UhIAL,10000,2018-12-18,92,Omitted,006B0000003Wau2IAC,true,false,Supervalu Operations Inc 245,79,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Reseller,9,39540294,0,20190709111258551478
Communications,Securitas Systems,Jordan Wolf,001B000000WJDxrIAH,0,2019-04-22,8,Best Case,006B0000003Wau9IAC,false,false,Securitas Systems 26,74,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Won,Proposal/Quote,Fields Sales,5,4397921,75,20190709111258551478
Healthcare & Life Sciences,Beretta Group Companies,Jordan Wolf,001B000000SS3VFIA1,12500,2018-09-01,274,Omitted,006B0000003WauqIAC,true,false,Beretta Group Companies 68,109,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Other,9,18804356,0,20190709111258551478
Electronics,Performance Telephone Services,Rachel Reilly,001B000000SS4WrIAL,29070,2018-07-07,306,Omitted,006B0000003WautIAC,true,false,Performance Telephone Services 84,114,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Reseller,9,24808296,0,20190709111258551478
Chemicals,Freeman Health System,Megan Kaufman,001B000000lwNo6IAE,1000,2018-09-15,275,Closed,006B0000003Wav2IAC,true,true,Freeman Health System 237,101,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Won,Closed Won,Telesales,8,18851690,100,20190709111258551478
Entertainment,French/West/Vaughan,Amy Shaw,001B000000SS3VSIA1,100000,2018-03-20,354,Omitted,006B0000003Wav5IAC,true,false,French/West/Vaughan 32,2,Amy Shaw,005B0000003CnfgIAC,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,30506594,0,20190709111258551478
Transportation,Akros Communications,Ann Jones,001B000000SS3VoIAL,2632,2019-05-11,10,Best Case,006B0000003WavPIAS,false,false,Akros Communications 73,12,Ann Jones,005B0000003CnfWIAS,Channel (Partner),Closed Lost,Qualification,Other,2,4397921,20,20190709111258551478
Food & Beverage,Itp Inc,Alyssa Williams,001B000000SS3VvIAL,50000,2018-09-24,206,Omitted,006B0000003WavYIAS,true,false,Itp Inc 178,80,Alyssa Williams,005B0000003CnfXIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,16370445,0,20190709111258551478
Engineering,Magis Networks,Rachel Reilly,001B000000bwMScIAM,10000,2019-02-25,41,Commit,006B0000003WaveIAC,false,false,Magis Networks 23,100,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Negotiation,Other,7,18804355,90,20190709111258551478
Communications,Dresser Waukesha,Kristen Hughes,001B000000SS4XDIA1,10000,2017-11-05,567,Closed,006B0000003WavkIAC,true,true,Dresser Waukesha 145,109,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Won,Closed Won,Fields Sales,8,47336781,100,20190709111258551478
Manufacturing,Data Monitor Systems,Jordan Wolf,001B000000lwNoAIAU,7500,2018-04-28,351,Omitted,006B0000003WavsIAC,true,false,Data Monitor Systems 112,84,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,29393189,0,20190709111258551478
Communications,Magellon Distribution Corp,Kristen Hughes,001B000000SS3X5IAL,558,2018-03-04,424,Omitted,006B0000003Wax3IAC,true,false,Magellon Distribution Corp 127,62,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Closed Lost,Reseller,9,33260576,0,20190709111258551478
Machinery,Candescent Technologies Corporation,Rachel Reilly,001B000000SS3X8IAL,5000,2019-01-05,62,Omitted,006B0000003Wax6IAC,true,false,Candescent Technologies Corporation 155,64,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Reseller,9,55189009,0,20190709111258551478
Media,CCS Presentation Systems,Jordan Wolf,001B000000SS4Y8IAL,2150,2018-11-26,140,Omitted,006B0000003WaxVIAS,true,false,CCS Presentation Systems 1,57,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,9081240,0,20190709111258551478
Hospitality,Syspack Professional Systems,Rachel Reilly,001B000000WJDzJIAX,5000,2018-01-26,442,Omitted,006B0000003Waz4IAC,true,false,Syspack Professional Systems 156,76,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,37022825,0,20190709111258551478
Financial Services,Russo & Hale LLP,Courtney Brown,001B000000SS3YxIAL,250000,2018-01-28,410,Omitted,006B0000003WazQIAS,true,false,Russo & Hale LLP 63,13,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,35312806,0,20190709111258551478
Entertainment,Archive America/WareItIs,Sheri Nunez,001B000000SS3YyIAL,75000,2019-03-19,27,Best Case,006B0000003WazSIAS,false,false,Archive America/WareItIs 72,72,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Proposal/Quote,Fields Sales,5,18804168,75,20190709111258551478
Financial Services,EPL,Alicia Harrison,001B000000SS3ZEIA1,75000,2018-12-18,92,Omitted,006B0000003WazlIAC,true,false,EPL 69,44,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Reseller,9,8376698,0,20190709111258551478
Financial Services,Enterprise Computer Systems,Alicia Harrison,001B000000lwNogIAE,5000,2019-03-30,39,Best Case,006B0000003WazrIAC,false,false,Enterprise Computer Systems 8,52,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Proposal/Quote,Reseller,5,4397901,75,20190709111258551478
Not For Profit,pMDsoft,Alyssa Williams,001B000000SS4ZCIA1,52632,2017-10-18,525,Omitted,006B0000003WazwIAC,true,false,pMDsoft 179,57,Alyssa Williams,005B0000003CnfXIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,43955278,0,20190709111258551478
Banking,Courtroom Connect,Rachel Reilly,001B000000SS3ZZIA1,5000,2018-11-21,108,Omitted,006B0000003Wb0OIAS,true,false,Courtroom Connect 228,16,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,55188998,0,20190709111258551478
Banking,PerCurrence,Alyssa Williams,001B000000SS3ZpIAL,50000,2019-02-01,101,Omitted,006B0000003Wb0kIAC,true,false,PerCurrence 225,68,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Reseller,9,55188998,0,20190709111258551478
Banking,Zilliant,Rachel Reilly,001B000000WJDzxIAH,15000,2017-11-02,521,Omitted,006B0000003Wb11IAC,true,false,Zilliant 42,31,Rachel Reilly,005B0000003CnfYIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,42699292,0,20190709111258551478
Communications,Memberdrive,Rachel Reilly,001B000000WJDzyIAH,77507,2018-03-27,391,Omitted,006B0000003Wb18IAC,true,false,Memberdrive 184,57,Rachel Reilly,005B0000003CnfYIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,32066255,0,20190709111258551478
Financial Services,B&T Consulting,Alyssa Williams,001B000000sxHkxIAE,25000,2017-10-31,582,Closed,006B0000003Wb1DIAS,true,true,B&T Consulting 233,91,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Won,Closed Won,Reseller,8,45011587,100,20190709111258551478
Agriculture,Auto-Trol Technology Corporation,Sheri Nunez,001B000000WJE03IAH,24500,2019-03-09,70,Best Case,006B0000003Wb1MIAS,false,false,Auto-Trol Technology Corporation 122,82,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Negotiation,Fields Sales,7,4397885,90,20190709111258551478
Transportation,TYAN Computer Corp.,Courtney Brown,001B000000XyOKhIAN,453964,2019-03-08,24,Best Case,006B0000003Wb24IAC,false,false,TYAN Computer Corp. 58,51,Courtney Brown,005B0000003CnfVIAS,Channel (Partner),Closed Lost,Proposal/Quote,Reseller,5,18804167,75,20190709111258551478
Government,Vanguard Consulting,Courtney Brown,001B000000lwNp3IAE,30000,2019-02-19,28,Omitted,006B0000003Wb2HIAS,true,false,Vanguard Consulting 211,45,Beth Crawford,005B0000003CnfKIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,2951699,0,20190709111258551478
Retail,Archer  Daniels  Midland Company,Jordan Wolf,001B000000SS3b9IAD,1500,2017-10-11,523,Omitted,006B0000003Wb2TIAS,true,false,Archer  Daniels  Midland Company 76,18,Jordan Wolf,005B0000003CnfQIAS,Simple,Closed Lost,Closed Lost,Other,9,44400331,0,20190709111258551478
Education,Robinson Industries,Megan Kaufman,001B000000SS3bHIAT,6000,2018-01-03,466,Omitted,006B0000003Wb2ZIAS,true,false,Robinson Industries 224,63,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,39540501,0,20190709111258551478
Entertainment,The L S Starrett Company,Kristen Hughes,001B000000SS4aCIAT,77507,2019-04-12,14,Best Case,006B0000003Wb2hIAC,false,false,The L S Starrett Company 159,20,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Discovery,Fields Sales,0,784496,0,20190709111258551478
Construction,Red Herring,Ann Jones,001B000000SS3bRIAT,45000,2017-12-29,436,Omitted,006B0000003Wb2jIAC,true,false,Red Herring 183,7,Ann Jones,005B0000003CnfWIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,37500997,0,20190709111258551478
Construction,Red Herring,Ann Jones,001B000000SS3bRIAT,147444,2019-04-03,27,Best Case,006B0000003Wb2kIAC,false,false,Red Herring 184,28,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Proposal/Quote,Fields Sales,5,532437,75,20190709111258551478
Shipping,Sorrento Networks,Beth Crawford,001B000000bwMU9IAM,37500,2018-12-09,95,Omitted,006B0000003Wb2pIAC,true,false,Sorrento Networks 235,18,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Closed Lost,Other,9,55188987,0,20190709111258551478
Entertainment,Golden Pacific Systems Inc,Megan Kaufman,001B000000WJE0iIAH,0,2018-09-08,197,Closed,006B0000003Wb2rIAC,true,true,Golden Pacific Systems Inc 47,63,Megan Kaufman,005B0000003CnfRIAS,Channel (Partner),Closed Lost,Closed Won,Fields Sales,8,16173700,100,20190709111258551478
Environmental,M&F enterprises,Ann Jones,001B000000SS3bZIAT,402507,2019-01-03,89,Omitted,006B0000003Wb2zIAC,true,false,M&F enterprises 155,73,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,8307335,0,20190709111258551478
Other,Product Acceleration,Courtney Brown,001B000000SS3bbIAD,25000,2018-05-28,291,Omitted,006B0000003Wb31IAC,true,false,Product Acceleration 165,35,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Telecoverage,9,25918551,0,20190709111258551478
Biotechnology,GE Power Systems,Jordan Wolf,001B000000SS3c4IAD,50000,2018-04-18,351,Closed,006B0000003Wb3XIAS,true,true,GE Power Systems 41,67,Jordan Wolf,005B0000003CnfQIAS,Channel (Partner),Closed Won,Closed Won,Fields Sales,8,30076898,100,20190709111258551478
Machinery,Tech Talent,Alicia Harrison,001B000000lwNpNIAU,50000,2019-03-12,51,Best Case,006B0000003Wb3hIAC,false,false,Tech Talent 194,51,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Proposal/Quote,Fields Sales,5,18804166,75,20190709111258551478
Healthcare & Life Sciences,H R Mdical    HM Care Resources,Courtney Brown,001B000000WJE10IAH,60000,2018-09-21,191,Omitted,006B0000003Wb3mIAC,true,false,H R Mdical    HM Care Resources 67,30,Courtney Brown,005B0000003CnfVIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,55188987,0,20190709111258551478
Manufacturing,Spectrum Electronics,Beth Crawford,001B000000WJE11IAH,60000,2018-12-22,76,Closed,006B0000003Wb3nIAC,true,true,Spectrum Electronics 88,7,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Won,Closed Won,Reseller,8,6725476,100,20190709111258551478
Hospitality,Draper Fisher Jurvetson,Jordan Wolf,001B000000lwNpOIAU,48684,2019-03-17,19,Best Case,006B0000003Wb3xIAC,false,false,Draper Fisher Jurvetson 204,29,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Discovery,Reseller,0,18804166,0,20190709111258551478
Transportation,Paintball,Ann Jones,001B000000SS3cZIAT,55000,2017-09-22,535,Omitted,006B0000003Wb41IAC,true,false,Paintball 58,73,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Reseller,9,4397868,0,20190709111258551478
Apparel,Palm Computing,Sheri Nunez,001B000000WJE1CIAX,20349,2019-01-11,58,Omitted,006B0000003Wb4DIAS,true,false,Palm Computing 13,31,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Lost,Closed Lost,Reseller,9,55188987,0,20190709111258551478
Government,Convergent Outsourcing,Rachel Reilly,001B000000WJE1GIAX,73113,2018-09-26,172,Omitted,006B0000003Wb4TIAS,true,false,Convergent Outsourcing 168,39,Megan Kaufman,005B0000003CnfRIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,55188987,0,20190709111258551478
Environmental,Geographica,Beth Crawford,001B000000SS3cwIAD,10000,2018-10-02,170,Omitted,006B0000003Wb4ZIAS,true,false,Geographica 13,20,Beth Crawford,005B0000003CnfKIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,14095052,0,20190709111258551478
Engineering,Pine Cove Inc,Kristen Hughes,001B000000SS4bFIAT,12068,2018-01-22,419,Closed,006B0000003Wb4qIAC,true,true,Pine Cove Inc 223,73,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Won,Closed Won,Fields Sales,8,39540490,100,20190709111258551478
Agriculture,Meeting Networks,Courtney Brown,001B000000SS3dLIAT,758,2018-06-12,275,Omitted,006B0000003Wb4xIAC,true,false,Meeting Networks 140,8,Courtney Brown,005B0000003CnfVIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,23505494,0,20190709111258551478
Telecommunications,Aetna Us Healthcare  Hmo Ppo,Jordan Wolf,001B000000SS3dbIAD,21000,2019-01-11,84,Closed,006B0000003Wb5IIAS,true,true,Aetna Us Healthcare  Hmo Ppo 137,71,Courtney Brown,005B0000003CnfVIAS,Channel (Partner),Closed Won,Closed Won,Reseller,8,10903059,100,20190709111258551478
Energy,Boeing Service Company,Alyssa Williams,001B000000SS4beIAD,7751,2017-10-22,521,Omitted,006B0000003Wb5LIAS,true,false,Boeing Service Company 174,43,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Telesales,9,43970774,0,20190709111258551478
Financial Services,Bridge Media International,Beth Crawford,001B000000SS3diIAD,3100,2017-10-22,513,Omitted,006B0000003Wb5TIAS,true,false,Bridge Media International 21,64,Beth Crawford,005B0000003CnfKIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,47336738,0,20190709111258551478
Financial Services,Bridge Media International,Beth Crawford,001B000000SS3diIAD,116261,2018-05-03,315,Omitted,006B0000003Wb5UIAS,true,false,Bridge Media International 25,41,Courtney Brown,005B0000003CnfVIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,27002388,0,20190709111258551478
Technology,Real Estate Forum,Beth Crawford,001B000000SS3e7IAD,78500,2019-03-09,27,Best Case,006B0000003Wb5vIAC,false,false,Real Estate Forum 43,40,Kristen Hughes,005B0000003CnfSIAS,Simple,Closed Lost,Proposal/Quote,Fields Sales,5,18804166,75,20190709111258551478
Transportation,FOB,Amy Shaw,001B000000WJE1vIAH,15000,2017-08-06,578,Omitted,006B0000003Wb6dIAC,true,false,FOB 53,0,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,49960972,0,20190709111258551478
Media,Sun Edison,Jordan Wolf,001B000000lwNpeIAE,3067,2019-03-30,28,Best Case,006B0000003Wb6wIAC,false,false,Sun Edison 117,31,Beth Crawford,005B0000003CnfKIAS,Channel (Partner),Closed Won,Discovery,Fields Sales,0,540950,0,20190709111258551478
Recreation,NetApp,Ann Jones,001B000000SS3exIAD,500,2019-03-16,24,Best Case,006B0000003Wb70IAC,false,false,NetApp 184,39,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Won,Discovery,Reseller,0,18804166,0,20190709111258551478
Food & Beverage,MedPharma Sales,Alicia Harrison,001B000000SS4cpIAD,50000,2018-07-02,257,Omitted,006B0000003Wb7JIAS,true,false,MedPharma Sales 209,31,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,22532737,0,20190709111258551478
Government,FireFly,Sheri Nunez,001B000000SS4cxIAD,0,2018-10-04,170,Closed,006B0000003Wb7NIAS,true,true,FireFly 33,37,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Won,Closed Won,Fields Sales,8,13617280,100,20190709111258551478
Education,Money Mailer,Courtney Brown,001B000000SS4dKIAT,2500,2017-10-11,546,Closed,006B0000003Wb7tIAC,true,true,Money Mailer 214,39,Courtney Brown,005B0000003CnfVIAS,Simple,Closed Won,Closed Won,Other,8,45910941,100,20190709111258551478
Telecommunications,Tripwire,Beth Crawford,001B000000SS3fhIAD,90001,2017-09-06,574,Closed,006B0000003Wb7uIAC,true,true,Tripwire 238,45,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Won,Closed Won,Reseller,8,48117155,100,20190709111258551478
Environmental,ICAT Logistics,Megan Kaufman,001B000000SS3gPIAT,25000,2017-09-19,557,Omitted,006B0000003Wb8dIAC,true,false,ICAT Logistics 50,39,Megan Kaufman,005B0000003CnfRIAS,Simple,Closed Lost,Closed Lost,Reseller,9,47336723,0,20190709111258551478
Energy,Adams Golf,Jordan Wolf,001B000000WJE2WIAX,4500,2018-12-07,99,Omitted,006B0000003Wb8gIAC,true,false,Adams Golf 69,39,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Closed Lost,Telesales,9,55188976,0,20190709111258551478
Manufacturing,Yipinet,Kristen Hughes,001B000000lwNq1IAE,70500,2017-10-11,537,Omitted,006B0000003Wb9BIAS,true,false,Yipinet 77,41,Ann Jones,005B0000003CnfWIAS,Simple,Closed Lost,Closed Lost,Reseller,9,44675997,0,20190709111258551478
Banking,InCert Software,Beth Crawford,001B000000SS3h1IAD,8673,2018-07-12,244,Omitted,006B0000003Wb9KIAS,true,false,InCert Software 5,13,Beth Crawford,005B0000003CnfKIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,20610399,0,20190709111258551478
